customerid,gender,age,annual_income_k,spending_score_(1-100),cluster_2d,cluster_3d,income_tier,quadrant
1,Male,19,15,39,4,2,Low,"Low income, low score"
2,Male,21,15,81,2,2,Low,"Low income, high score"
3,Female,20,16,6,4,3,Low,"Low income, low score"
4,Female,23,16,77,2,2,Low,"Low income, high score"
5,Female,31,17,40,4,2,Low,"Low income, low score"
6,Female,22,17,76,2,2,Low,"Low income, high score"
7,Female,35,18,6,4,3,Low,"Low income, low score"
8,Female,23,18,94,2,2,Low,"Low income, high score"
9,Male,64,19,3,4,0,Low,"Low income, low score"
10,Female,30,19,72,2,2,Low,"Low income, high score"
11,Male,67,19,14,4,0,Low,"Low income, low score"
12,Female,35,19,99,2,2,Low,"Low income, high score"
13,Female,58,20,15,4,0,Low,"Low income, low score"
14,Female,24,20,77,2,2,Low,"Low income, high score"
15,Male,37,20,13,4,3,Low,"Low income, low score"
16,Male,22,20,79,2,2,Low,"Low income, high score"
17,Female,35,21,35,4,3,Low,"Low income, low score"
18,Male,20,21,66,2,2,Low,"Low income, high score"
19,Male,52,23,29,4,0,Low,"Low income, low score"
20,Female,35,23,98,2,2,Low,"Low income, high score"
21,Male,35,24,35,4,3,Low,"Low income, low score"
22,Male,25,24,73,2,2,Low,"Low income, high score"
23,Female,46,25,5,4,0,Low,"Low income, low score"
24,Male,31,25,73,2,2,Low,"Low income, high score"
25,Female,54,28,14,4,0,Low,"Low income, low score"
26,Male,29,28,82,2,2,Low,"Low income, high score"
27,Female,45,28,32,4,0,Low,"Low income, low score"
28,Male,35,28,61,2,2,Low,"Low income, high score"
29,Female,40,29,31,4,0,Low,"Low income, low score"
30,Female,23,29,87,2,2,Low,"Low income, high score"
31,Male,60,30,4,4,0,Low,"Low income, low score"
32,Female,21,30,73,2,2,Low,"Low income, high score"
33,Male,53,33,4,4,0,Low,"Low income, low score"
34,Male,18,33,92,2,2,Low,"Low income, high score"
35,Female,49,33,14,4,0,Low,"Low income, low score"
36,Female,21,33,81,2,2,Low,"Low income, high score"
37,Female,42,34,17,4,0,Low,"Low income, low score"
38,Female,30,34,73,2,2,Low,"Low income, high score"
39,Female,36,37,26,4,3,Low,"Low income, low score"
40,Female,20,37,75,2,2,Low,"Low income, high score"
41,Female,65,38,35,4,0,Low,"Low income, low score"
42,Male,24,38,92,2,2,Low,"Low income, high score"
43,Male,48,39,36,4,0,Low,"Low income, low score"
44,Female,31,39,61,0,2,Low,"Low income, high score"
45,Female,49,39,28,4,0,Low,"Low income, low score"
46,Female,24,39,65,2,2,Low,"Low income, high score"
47,Female,50,40,55,0,0,Medium,"Low income, high score"
48,Female,27,40,47,0,3,Medium,"Low income, low score"
49,Female,29,40,42,0,3,Medium,"Low income, low score"
50,Female,31,40,42,0,3,Medium,"Low income, low score"
51,Female,49,42,52,0,0,Medium,"Low income, high score"
52,Male,33,42,60,0,2,Medium,"Low income, high score"
53,Female,31,43,54,0,3,Medium,"Low income, high score"
54,Male,59,43,60,0,0,Medium,"Low income, high score"
55,Female,50,43,45,0,0,Medium,"Low income, low score"
56,Male,47,43,41,0,0,Medium,"Low income, low score"
57,Female,51,44,50,0,0,Medium,"Low income, high score"
58,Male,69,44,46,0,0,Medium,"Low income, low score"
59,Female,27,46,51,0,3,Medium,"Low income, high score"
60,Male,53,46,46,0,0,Medium,"Low income, low score"
61,Male,70,46,56,0,0,Medium,"Low income, high score"
62,Male,19,46,55,0,3,Medium,"Low income, high score"
63,Female,67,47,52,0,0,Medium,"Low income, high score"
64,Female,54,47,59,0,0,Medium,"Low income, high score"
65,Male,63,48,51,0,0,Medium,"Low income, high score"
66,Male,18,48,59,0,3,Medium,"Low income, high score"
67,Female,43,48,50,0,0,Medium,"Low income, high score"
68,Female,68,48,48,0,0,Medium,"Low income, low score"
69,Male,19,48,59,0,3,Medium,"Low income, high score"
70,Female,32,48,47,0,3,Medium,"Low income, low score"
71,Male,70,49,55,0,0,Medium,"Low income, high score"
72,Female,47,49,42,0,0,Medium,"Low income, low score"
73,Female,60,50,49,0,0,Medium,"Low income, low score"
74,Female,60,50,56,0,0,Medium,"Low income, high score"
75,Male,59,54,47,0,0,Medium,"Low income, low score"
76,Male,26,54,54,0,3,Medium,"Low income, high score"
77,Female,45,54,53,0,0,Medium,"Low income, high score"
78,Male,40,54,48,0,3,Medium,"Low income, low score"
79,Female,23,54,52,0,3,Medium,"Low income, high score"
80,Female,49,54,42,0,0,Medium,"Low income, low score"
81,Male,57,54,51,0,0,Medium,"Low income, high score"
82,Male,38,54,55,0,3,Medium,"Low income, high score"
83,Male,67,54,41,0,0,Medium,"Low income, low score"
84,Female,46,54,44,0,0,Medium,"Low income, low score"
85,Female,21,54,57,0,3,Medium,"Low income, high score"
86,Male,48,54,46,0,0,Medium,"Low income, low score"
87,Female,55,57,58,0,0,Medium,"Low income, high score"
88,Female,22,57,55,0,3,Medium,"Low income, high score"
89,Female,34,58,60,0,3,Medium,"Low income, high score"
90,Female,50,58,46,0,0,Medium,"Low income, low score"
91,Female,68,59,55,0,0,Medium,"Low income, high score"
92,Male,18,59,41,0,3,Medium,"Low income, low score"
93,Male,48,60,49,0,0,Medium,"Low income, low score"
94,Female,40,60,40,0,3,Medium,"Low income, low score"
95,Female,32,60,42,0,3,Medium,"Low income, low score"
96,Male,24,60,52,0,3,Medium,"Low income, high score"
97,Female,47,60,47,0,0,Medium,"Low income, low score"
98,Female,27,60,50,0,3,Medium,"Low income, high score"
99,Male,48,61,42,0,0,Medium,"Low income, low score"
100,Male,20,61,49,0,3,Medium,"Low income, low score"
101,Female,23,62,41,0,3,Medium,"High income, low score"
102,Female,49,62,48,0,0,Medium,"High income, low score"
103,Male,67,62,59,0,0,Medium,"High income, high score"
104,Male,26,62,55,0,3,Medium,"High income, high score"
105,Male,49,62,56,0,0,Medium,"High income, high score"
106,Female,21,62,42,0,3,Medium,"High income, low score"
107,Female,66,63,50,0,0,Medium,"High income, high score"
108,Male,54,63,46,0,0,Medium,"High income, low score"
109,Male,68,63,43,0,0,Medium,"High income, low score"
110,Male,66,63,48,0,0,Medium,"High income, low score"
111,Male,65,63,52,0,0,Medium,"High income, high score"
112,Female,19,63,54,0,3,Medium,"High income, high score"
113,Female,38,64,42,0,3,Medium,"High income, low score"
114,Male,19,64,46,0,3,Medium,"High income, low score"
115,Female,18,65,48,0,3,Medium,"High income, low score"
116,Female,19,65,50,0,3,Medium,"High income, high score"
117,Female,63,65,43,0,0,Medium,"High income, low score"
118,Female,49,65,59,0,0,Medium,"High income, high score"
